[H[2J[3JDate,Location,N,Diversity,Divergence
20191224,World,17,0.00017714919047619033,9.246317647058824e-05
20191224,China,17,0.00017714919047619033,9.246317647058824e-05
20191231,World,636,0.0002892689287710134,0.0003242258207547186
20191231,China,12,0.00021847379310344827,8.732633333333334e-05
20191231,United Kingdom,415,0.00028967730903879646,0.00034787144578313217
20191231,Germany,4,0.0001309955,0.00032749775
20191231,India,32,0.0003254275443548389,0.00034389159374999994
20191231,USA,21,0.00017470400476190455,0.0003244319523809524
20191231,Netherlands,106,0.00022629411105120752,0.00026205431132075445
20191231,Russia,5,0.0,0.000262
20191231,Thailand,4,0.00034953599999999995,0.00019650000000002773
20191231,Spain,2,0.0,0.000262
20191231,Australia,12,0.00044081707575757565,0.00028394825
20191231,Italy,14,0.0002246012197802197,0.0003742996428571429
20200107,World,14,0.0001571961,5.614028571428571e-05
20200107,China,9,8.732883333333333e-05,5.821922222222222e-05
20200107,Thailand,4,0.0,0.0
20200114,World,32,0.00045789253521126756,0.00019659046874999998
20200114,China,27,0.0005626145833333334,0.00023299611111111108
20200114,Thailand,2,0.0,0.0
20200114,Japan,2,0.0,0.0
20200121,World,249,0.00011017393580568413,5.8950104417671114e-05
20200121,China,181,9.072768824463803e-05,4.4871303867403304e-05
20200121,USA,7,0.0,3.742728571428571e-05
20200121,Thailand,11,0.00010478739999999999,4.762736363636364e-05
20200121,Australia,7,0.0002245392857142857,7.4843e-05
20200121,Singapore,5,0.00017466066666666665,0.00010479820000000001
20200121,Canada,4,0.0,0.0
20200121,Hong Kong,13,0.0001577064,0.00020210161538461539
20200121,Japan,3,0.0,0.0
20200121,Vietnam,4,0.0,0.0001309955
20200121,France,3,0.0,0.000261901
20200121,Taiwan,3,0.0,0.0
20200121,Malaysia,3,7.392133333333333e-17,3.6960666666666664e-17
20200128,World,283,0.0001564968038690472,7.869031095406352e-05
20200128,China,173,0.00015991977030927932,8.026541040462424e-05
20200128,United Kingdom,3,0.0,0.00026193399999999996
20200128,Germany,15,0.00014784943589743588,0.0002445333333333334
20200128,USA,6,0.00026203850000000004,0.0001309955
20200128,Thailand,7,0.0001309505,3.741442857142857e-05
20200128,Australia,8,7.485457142857144e-05,3.2748875e-05
20200128,Italy,6,0.0,0.0
20200128,Singapore,7,0.0001309955,3.742728571428571e-05
20200128,Hong Kong,8,0.0,0.0
20200128,Japan,20,6.442872131147542e-05,2.6200000000000003e-05
20200128,South Korea,10,0.0,0.0
20200128,France,6,0.0001309955,0.00013096549999999998
20200128,Taiwan,4,0.0,0.0
20200128,Malaysia,3,0.0,0.0
20200204,World,176,0.00016779632154195114,9.080871022727269e-05
20200204,China,103,0.0001348554160583941,7.377384466019415e-05
20200204,United Kingdom,7,0.0,0.0
20200204,Germany,2,0.0,0.000262
20200204,USA,2,0.0,0.000131
20200204,Thailand,2,0.0,0.000131
20200204,Australia,3,0.0,0.0
20200204,Singapore,11,7.485457142857142e-05,4.763472727272727e-05
20200204,Hong Kong,14,0.000302251076923077,0.00022451635714285716
20200204,Japan,2,0.0,0.0
20200204,South Korea,12,0.0,4.366516666666666e-05
20200204,Taiwan,6,0.0,0.0002184171666666667
20200204,Malaysia,4,0.0,0.0
20200204,Saudi Arabia,4,0.0,0.0003930075
20200211,World,160,0.00010010259551056356,5.5678987499999975e-05
20200211,China,44,9.310000507614209e-05,3.5727340909090906e-05
20200211,United Kingdom,10,0.0002621687777777778,7.86304e-05
20200211,USA,9,0.0,0.0
20200211,Singapore,9,0.00010480000000000001,5.822122222222222e-05
20200211,Hong Kong,7,0.0005241745,0.00014976414285714287
20200211,Japan,72,6.424547903430757e-05,3.274629166666667e-05
20200211,South Korea,2,0.0,0.0001309955
20200211,Saudi Arabia,4,0.000523991,0.000524069
20200218,World,185,0.00017399782983871018,9.20517135135135e-05
20200218,China,25,0.00013368428571428577,8.38358e-05
20200218,United Kingdom,6,0.00034953599999999995,8.738399999999999e-05
20200218,USA,24,7.41249245283019e-05,3.2737625e-05
20200218,Australia,2,0.0,0.0
20200218,Italy,13,7.702970588235293e-05,0.00030230353846153846
20200218,Singapore,4,0.000131,6.55e-05
20200218,Hong Kong,6,0.00034930700000000004,0.0002619186666666666
20200218,Japan,13,2.61901e-05,6.0457615384615384e-05
20200218,South Korea,76,9.85885971370143e-05,4.826280263157896e-05
20200218,France,2,0.0,0.000262
20200218,Saudi Arabia,5,0.000523991,0.0003668588
20200218,Panama,2,0.0,0.0
20200218,Oman,2,0.0,0.0001309955
20200225,World,1144,0.00022946920439440073,0.00018230190384615474
20200225,China,74,0.00011964995500562466,5.664317567567568e-05
20200225,United Kingdom,145,0.00026428609569378116,0.00023670058620689637
20200225,Germany,16,0.00027021453125,0.00014736768750000002
20200225,India,2,0.0,0.00039313300000000005
20200225,USA,164,0.00023992215319023678,0.00012621428658536574
20200225,Netherlands,39,0.00014819973737373695,0.00014779164102564105
20200225,Israel,8,0.0,0.000262
20200225,Thailand,6,7.485585714285714e-05,0.00026199850000000006
20200225,Spain,26,0.00023343816363636356,0.0001209263076923077
20200225,Australia,64,0.00019286015895061953,0.000139184484375
20200225,Italy,26,2.5830098591549297e-05,0.00027207657692307697
20200225,Singapore,9,0.0,0.0
20200225,Canada,191,0.000177970159391363,0.0001865535130890049
20200225,Hong Kong,4,0.00017460066666666666,0.00019642575
20200225,Japan,47,8.806064999999982e-05,3.34464255319149e-05
20200225,Czech Republic,2,0.0,0.000262
